UserID,ProductID,Interaction,Timestamp,Category,InteractionWeight
U484,33267,viewed,2022-02-09 11:47:57,Apparel,1
U39,41006,viewed,2022-08-11 11:26:37,Apparel,1
U35,24942,viewed,2022-03-05 00:51:04,Apparel,1
U16,45340,viewed,2022-06-13 00:36:53,Footwear,1
U35,4464,viewed,2022-05-20 16:49:29,Apparel,1
U122,35442,added_to_cart,2021-12-28 09:26:23,Apparel,3
U417,32848,purchased,2022-03-05 20:44:42,Footwear,5
U133,9202,added_to_cart,2022-06-06 00:01:12,Footwear,3
U470,44747,purchased,2021-11-19 14:51:59,Footwear,5
U155,17615,viewed,2022-01-31 18:08:11,Apparel,1
U340,34191,viewed,2022-02-08 02:39:04,Apparel,1
U319,22846,viewed,2021-09-06 17:43:03,Footwear,1
U2,17679,added_to_cart,2022-02-25 16:43:21,Footwear,3
U140,41867,added_to_cart,2022-10-22 08:58:37,Footwear,3
U273,34012,added_to_cart,2022-01-03 23:28:07,Apparel,3
U124,13677,added_to_cart,2021-08-08 21:49:02,Footwear,3
U423,38334,added_to_cart,2021-09-24 17:03:30,Apparel,3
U325,4188,added_to_cart,2021-11-11 22:37:36,Apparel,3
U211,31120,added_to_cart,2021-06-27 00:42:45,Apparel,3
U205,9052,added_to_cart,2021-08-18 17:13:25,Footwear,3
U265,42705,viewed,2021-07-21 00:41:31,Footwear,1
U136,35877,added_to_cart,2021-07-11 20:50:49,Apparel,3
U392,12507,viewed,2022-02-08 12:31:05,Footwear,1
U303,31971,viewed,2021-06-23 22:47:23,Footwear,1
U224,34857,added_to_cart,2022-02-05 15:29:13,Footwear,3
U264,19372,purchased,2022-03-28 22:11:14,Footwear,5
U14,28607,added_to_cart,2021-07-20 11:25:01,Footwear,3
U144,39989,viewed,2022-11-02 04:53:45,Footwear,1
U142,47191,added_to_cart,2021-12-02 12:09:59,Footwear,3
U254,31173,viewed,2022-11-02 06:57:48,Apparel,1
U321,6644,purchased,2022-10-10 17:57:36,Footwear,5
U411,4728,added_to_cart,2021-11-25 19:03:17,Apparel,3
U438,49839,viewed,2022-05-11 18:53:35,Footwear,1
U357,34149,purchased,2021-12-06 05:50:44,Apparel,5
U17,38905,purchased,2022-01-18 08:54:56,Apparel,5
U204,24633,purchased,2022-09-06 01:42:36,Footwear,5
U476,35893,purchased,2022-02-06 07:39:53,Apparel,5
U284,43885,viewed,2021-08-27 16:49:03,Footwear,1
U22,19051,added_to_cart,2021-12-24 21:55:18,Footwear,3
U345,13072,purchased,2021-10-11 14:08:55,Footwear,5
U327,43586,viewed,2021-12-02 04:45:51,Apparel,1
U218,6620,viewed,2021-10-09 14:44:27,Footwear,1
U202,46597,purchased,2021-08-10 21:10:35,Footwear,5
U239,40129,viewed,2022-06-08 05:39:24,Apparel,1
U147,2227,purchased,2022-08-21 08:50:05,Footwear,5
